Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
Jaguar Land Rover L,Jaguar,XJL,544,17
Jaguar Land Rover L,Jaguar,XJL AWD,529,17
Jaguar Land Rover L,Land Rover,Discovery,524,19
Jaguar Land Rover L,Land Rover,Discovery Sport,452,20
Jaguar Land Rover L,Land Rover,Range Rover,547,18
Jaguar Land Rover L,Land Rover,Range Rover Evoque,428,21
Jaguar Land Rover L,Land Rover,Range Rover Evoque Cabriolet,449,20
Jaguar Land Rover L,Land Rover,Range Rover LWB,650,14
Jaguar Land Rover L,Land Rover,Range Rover Sport,539,18
Kia,KIA MOTORS CORPORATION,Cadenza,435,20
Kia,KIA MOTORS CORPORATION,Forte,343,26
Kia,KIA MOTORS CORPORATION,Forte5,369,24
Kia,KIA MOTORS CORPORATION,Forte Koup,370,24
Kia,KIA MOTORS CORPORATION,K900,567,16
Kia,KIA MOTORS CORPORATION,Niro,175,51
Kia,KIA MOTORS CORPORATION,Niro FE,171,52
Kia,KIA MOTORS CORPORATION,Niro Touring,195,46
Kia,KIA MOTORS CORPORATION,Optima,370,25
Kia,KIA MOTORS CORPORATION,Optima FE,357,25
Kia,KIA MOTORS CORPORATION,Optima Hybrid,228,39
Kia,KIA MOTORS CORPORATION,Rio,327,27
Kia,KIA MOTORS CORPORATION,Rio ECO,321,27
Kia,KIA MOTORS CORPORATION,Sedona,503,18
Kia,KIA MOTORS CORPORATION,Sedona SX,491,18
Kia,KIA MOTORS CORPORATION,Sedona SXL,539,17
Kia,KIA MOTORS CORPORATION,Sorento AWD,477,19
Kia,KIA MOTORS CORPORATION,Sorento AWD FE,502,18
Kia,KIA MOTORS CORPORATION,Sorento FWD,460,20
Kia,KIA MOTORS CORPORATION,Soul,359,25
Kia,KIA MOTORS CORPORATION,Sportage AWD,441,21
Kia,KIA MOTORS CORPORATION,Sportage FE AWD,434,21
Kia,KIA MOTORS CORPORATION,Sportage FE FWD,393,23
Kia,KIA MOTORS CORPORATION,Sportage FWD,415,22
Lotus,Lotus Cars Ltd,Evora,535,17
Maserati,MASERATI,Ghibli  S RWD,547,16
Maserati,MASERATI,Ghibli V6 Rear Wheel Drive (RWD),533,17
Maserati,MASERATI,Ghibli V6 SQ4 AWD,556,16
Maserati,MASERATI,GRANTURISMO,686,13
Maserati,MASERATI,GRANTURISMO CONVERTIBLE,693,13
Maserati,MASERATI,LEVANTE,625,14
Maserati,MASERATI,LEVANTE S,633,14
Maserati,MASERATI,QUATTROPORTE GTS,607,15
Maserati,MASERATI,QUATTROPORTE S,560,16
Maserati,MASERATI,QUATTROPORTE SQ4 V6,565,16
MAZDA,MAZDA,CX-3 2WD,312,29
MAZDA,MAZDA,CX-3 4WD,331,27
MAZDA,MAZDA,CX-5 2WD,370,24
MAZDA,MAZDA,CX-5 4WD,384,23
MAZDA,MAZDA,CX-9 2WD,403,22
MAZDA,MAZDA,CX-9 4WD,434,20
MAZDA,MAZDA,MAZDA2,285,31
MAZDA,MAZDA,MAZDA3 4-Door,328,27
MAZDA,MAZDA,MAZDA3 5-Door,334,27
MAZDA,MAZDA,MAZDA6,349,26
MAZDA,MAZDA,MX-5,338,26
McLaren Automotive,McLaren,570GT,526,16
McLaren Automotive,McLaren,570S Coupe,526,16
Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC,434,20
Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC  (convertible),462,19
Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC (coupe),447,20
Mercedes-Benz,Mercedes-Benz,AMG C 63,498,18
Mercedes-Benz,Mercedes-Benz,AMG C 63 (convertible),528,17
Mercedes-Benz,Mercedes-Benz,AMG C 63 (coupe),520,17
Mercedes-Benz,Mercedes-Benz,AMG C 63 S,505,18
Mercedes-Benz,Mercedes-Benz,AMG C 63 S (convertible),528,17
Mercedes-Benz,Mercedes-Benz,AMG C 63 S (coupe),520,17
Mercedes-Benz,Mercedes-Benz,AMG CLA 45 4MATIC,390,23
Mercedes-Benz,Mercedes-Benz,AMG CLS 63 S 4MATIC,568,16
Mercedes-Benz,Mercedes-Benz,AMG E 43 4MATIC,492,18
Mercedes-Benz,Mercedes-Benz,AMG G 63,754,12
Mercedes-Benz,Mercedes-Benz,AMG G 65,833,11
Mercedes-Benz,Mercedes-Benz,AMG GLA 45 4MATIC,402,22
Mercedes-Benz,Mercedes-Benz,AMG GLC 43 4MATIC,495,18
Mercedes-Benz,Mercedes-Benz,AMG GLC 43 4MATIC (coupe),492,18
Mercedes-Benz,Mercedes-Benz,AMG GLE 43 4MATIC,517,17
Mercedes-Benz,Mercedes-Benz,AMG GLE 43 4MATIC (coupe),510,17
Mercedes-Benz,Mercedes-Benz,AMG GLE 63,680,13
Mercedes-Benz,Mercedes-Benz,AMG GLE 63 S,680,13
Mercedes-Benz,Mercedes-Benz,AMG GLE 63 S (coupe),650,14
Mercedes-Benz,Mercedes-Benz,AMG GLS 63,686,13
Mercedes-Benz,Mercedes-Benz,AMG GT,548,16
Mercedes-Benz,Mercedes-Benz,AMG GT S,548,16
Mercedes-Benz,Mercedes-Benz,AMG S 63 4MATIC,593,15
Mercedes-Benz,Mercedes-Benz,AMG S 63 4MATIC (convertible),613,14
Mercedes-Benz,Mercedes-Benz,AMG S 63 4MATIC (coupe),576,15
Mercedes-Benz,Mercedes-Benz,AMG S 65,665,13
Mercedes-Benz,Mercedes-Benz,AMG SL 63,557,16
Mercedes-Benz,Mercedes-Benz,AMG SL 65,661,13
Mercedes-Benz,Mercedes-Benz,AMG SLC 43,434,20
Mercedes-Benz,Mercedes-Benz,C 300,367,24
Mercedes-Benz,Mercedes-Benz,C 300 (convertible),388,23
Mercedes-Benz,Mercedes-Benz,C 300 (Coupe),393,23
Mercedes-Benz,Mercedes-Benz,C 300 4MATIC,369,24
Mercedes-Benz,Mercedes-Benz,C 300 4MATIC  (convertible),405,22
Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (Coupe),394,23
Mercedes-Benz,Mercedes-Benz,CLA 250,365,24
Mercedes-Benz,Mercedes-Benz,CLA 250 4MATIC,381,23
Mercedes-Benz,Mercedes-Benz,CLS 550,496,18
Mercedes-Benz,Mercedes-Benz,CLS 550 4MATIC,514,17
Mercedes-Benz,Mercedes-Benz,E 300,399,22
Mercedes-Benz,Mercedes-Benz,E 300 4MATIC,406,22
